image,counts,directory,species,genus,genus_counts,genus_counts_sum,iucn_status,new_idx
tiny_plantnet300k/427/3956dc1d454150bffd9ebe13ea3a600962b5245a.jpg,2101,427,Liriodendron tulipifera L.,Liriodendron,2,2104,LC,29
tiny_plantnet300k/190/c7a6fc924ef5b39852f71bce9ed9129d34ac6454.jpg,2017,190,Tradescantia pallida (Rose) D.R.Hunt,Tradescantia,12,7631,Not assessed,30
tiny_plantnet300k/31/77c8333edad675bd66c9185c6303b41b7c2dc728.jpg,2007,31,Humulus lupulus L.,Humulus,1,2007,LC,31
tiny_plantnet300k/15/b90c0e9b955f52d8d38c573d086116385c08e9ee.jpg,1974,15,Tradescantia zebrina Bosse,Tradescantia,12,7631,Not assessed,32
tiny_plantnet300k/270/390d6a115244e56c43f3c0507fc331833657432c.jpg,1952,270,Trachelospermum jasminoides (Lindl.) Lem.,Trachelospermum,2,1966,Not assessed,33
tiny_plantnet300k/467/b84824684592a0dc4cddee815c6612bb3b764b13.jpg,1949,467,Hepatica nobilis Schreb.,Hepatica,1,1949,Not assessed,34
tiny_plantnet300k/406/8fa0339b29b07fa49e06180f5f08efaaa8318337.jpg,1941,406,Hypericum calycinum L.,Hypericum,37,11946,Not assessed,35
tiny_plantnet300k/421/18eddd40dbb7e943fcef36daf2740a52bccb697f.jpg,1811,421,Lamium maculatum (L.) L.,Lamium,10,12379,Not assessed,36
tiny_plantnet300k/480/c0b51e4dc2ce9274f745348615b20d3d745baa8d.jpg,1757,480,Angelica sylvestris L.,Angelica,6,2067,LC,37
tiny_plantnet300k/2/e5d885395c1ca050ee5ded290b27fdb4c9645b59.jpg,1736,2,Pelargonium graveolens L'Hér.,Pelargonium,18,6170,Not assessed,38
tiny_plantnet300k/319/bf582e899c8b3edea8f721ce4c93086acb6d9e7c.jpg,1730,319,Zamioculcas zamiifolia (G.Lodd.) Engl.,Zamioculcas,1,1730,Not assessed,39
tiny_plantnet300k/46/79ac15d9109009c76c8aa6caf0f57da56a10c553.jpg,1700,46,Sedum acre L.,Sedum,49,10171,LC,40
tiny_plantnet300k/420/fd5a0c23a9022b90b87e97f921fc6b7ffa382e93.jpg,1671,420,Lamium album L.,Lamium,10,12379,LC,41
tiny_plantnet300k/558/0033890278e4c1cfa3c4b3bb44eeedb2912a2579.jpg,1597,558,Salvia yangii B.T.Drew,Salvia,2,1672,Not assessed,42
tiny_plantnet300k/669/f6fefa6dde45feac5ba7f869215257147c14db32.jpg,1578,669,Heptapleurum arboricola Hayata,Heptapleurum,3,2343,Not assessed,43
tiny_plantnet300k/60/c1cb536f0b93d964e5350090f0c97ce8a8726c0f.jpg,1570,60,Petrosedum sediforme (Jacq.) Grulich,Petrosedum,6,3197,Not assessed,44
tiny_plantnet300k/88/1db0a96a05aea199fac3bb4010e382306896e818.jpg,1534,88,Lavandula stoechas L.,Lavandula,10,5453,Not assessed,45
tiny_plantnet300k/416/c29e66596b05533269643ed70802bef003211df1.jpg,1504,416,Kniphofia uvaria (L.) Oken,Kniphofia,2,1528,Not assessed,46
tiny_plantnet300k/161/1ca9078a86dd327888dc9f4aa7d8bf80ebd99223.jpg,1503,161,Ophrys apifera Huds.,Ophrys,23,3652,LC,47
tiny_plantnet300k/310/2700c9e2188690d74572b3c3d8b84e3f11a02e79.jpg,1440,310,Cucurbita pepo L.,Cucurbita,5,2675,LC,48
tiny_plantnet300k/19/bc3fa3e187411c6870907c563da298a3e07a9e60.jpg,1379,19,Melilotus albus Medik.,Melilotus,7,2830,LC,49
tiny_plantnet300k/68/3dce7c3ef1eb466dca635115fc307f29de64ad8d.jpg,1359,68,Hypericum androsaemum L.,Hypericum,37,11946,Not assessed,50
tiny_plantnet300k/457/e2aea8a06bcdca6793a5d2f72f9b8a4a38beed3b.jpg,1348,457,Pulsatilla alpina (L.) Chaz.,Pulsatilla,8,2316,Not assessed,51
tiny_plantnet300k/104/049745b99ee38ff6c9d6e2e7cc5004c2e7a7a501.jpg,1319,104,Trifolium incarnatum L.,Trifolium,39,14622,LC,52
tiny_plantnet300k/186/e56221a02c726e6edba00ca2156343c8bf230985.jpg,1303,186,Petrosedum rupestre (L.) P.V.Heath,Petrosedum,6,3197,Not assessed,53
tiny_plantnet300k/40/788b4d0327c971152175ccb3daf8c8f021d1f830.jpg,1291,40,Helminthotheca echioides (L.) Holub,Helminthotheca,1,1291,Not assessed,54
tiny_plantnet300k/543/acacb83f68ac6e8e7fdb76d4d155c4e087066f13.jpg,1273,543,Sedum palmeri S.Watson,Sedum,49,10171,Not assessed,55
tiny_plantnet300k/9/38a4eb7fce6677dff176e8b11c1b0e48c2d7fd02.jpg,1226,9,Mercurialis annua L.,Mercurialis,3,2002,Not assessed,56
tiny_plantnet300k/204/8f4edce42e66a2e14658461369cc05a1b96a6d97.jpg,1181,204,Smilax aspera L.,Smilax,10,1461,LC,57
tiny_plantnet300k/504/2726535cc93b1c776edf399fe83e4a7ea17a980a.jpg,1118,504,Tradescantia virginiana L.,Tradescantia,12,7631,Not assessed,58
tiny_plantnet300k/689/b45da14638ab5c3a7ec03173f5e1807022395c10.jpg,1084,689,Fittonia albivenis (Lindl. ex Veitch) Brummitt,Fittonia,1,1084,Not assessed,59
tiny_plantnet300k/579/70b5f7042e9e86b728a0b0969a1f54fa474af02c.jpg,1081,579,Barbarea vulgaris W.T.Aiton,Barbarea,5,1420,LC,60
tiny_plantnet300k/14/31bec616a520658a06559ac74e18b6eda9925485.jpg,1040,14,Tradescantia fluminensis Vell.,Tradescantia,12,7631,Not assessed,61
tiny_plantnet300k/152/ff7cd6242a445bed6f2f82136698be08e67babab.jpg,1033,152,Pancratium maritimum L.,Pancratium,3,1080,LC,62
tiny_plantnet300k/243/5cdca7e8abed21ed15c37751dd37ec54e78029e8.jpg,1031,243,Calendula arvensis L.,Calendula,3,5947,Not assessed,63
tiny_plantnet300k/25/1a4a7211fa279a9138d9e968fd86617ba71a4b90.jpg,1031,25,Dryopteris filix-mas (L.) Schott,Dryopteris,15,1346,LC,64
tiny_plantnet300k/229/437c8be1884e17dc273161aa5f6d0ea6a2ddef45.jpg,1028,229,Acacia dealbata Link,Acacia,20,1893,LC,65
tiny_plantnet300k/469/4d11d232e47a238c74e9f5d0f4f10e9b97b48a71.jpg,1022,469,Pelargonium inquinans (L.) L'Hér.,Pelargonium,18,6170,Not assessed,66
tiny_plantnet300k/180/9e29a980ce3f33a4a216ddf7686fe9c306e1906d.jpg,934,180,Epipactis helleborine (L.) Crantz,Epipactis,9,1614,LC,67
tiny_plantnet300k/679/b6b6f4e9de5be9a8760570c50fd9fef3018bb54e.jpg,923,679,Nandina domestica Thunb.,Nandina,1,923,Not assessed,68
tiny_plantnet300k/271/0bac5ffc410716069e732fbad887772ddd25f3bd.jpg,923,271,Tradescantia spathacea Sw.,Tradescantia,12,7631,Not assessed,69
tiny_plantnet300k/126/8bdf57cc9c23799f3b692df84504bb1b0d3921e7.jpg,903,126,Nymphaea alba L.,Nymphaea,9,1152,LC,70
tiny_plantnet300k/366/db58ddfdd25f86e2574823c4aede6a0909890637.jpg,889,366,Cucurbita maxima Duchesne,Cucurbita,5,2675,Not assessed,71
tiny_plantnet300k/463/0de92cd0e489694b1afccd182980acd80ca10fbe.jpg,873,463,Papaver orientale L.,Papaver,7,7858,Not assessed,72
tiny_plantnet300k/555/f2143f610c7d05b16ba9893520304db5b79e5964.jpg,835,555,Hypericum x hidcoteense Geerinck,Hypericum,37,11946,Not assessed,73
tiny_plantnet300k/170/8a591e7d67f81bd49b6b5137872e05022bb2def3.jpg,834,170,Cirsium palustre (L.) Scop.,Cirsium,23,11272,Not assessed,74
tiny_plantnet300k/16/afc66da8fca429ff125fc917ca3ffb636bf908ed.jpg,823,16,Lamium amplexicaule L.,Lamium,10,12379,Not assessed,75
tiny_plantnet300k/144/7d75ea6acd7e6660b01044391e38b40fa8700fa8.jpg,794,144,Chaerophyllum temulum L.,Chaerophyllum,7,1176,Not assessed,76
tiny_plantnet300k/228/dcd0ff6582c5be1d85720620b5e0444e1269855f.jpg,788,228,Melilotus officinalis (L.) Lam.,Melilotus,7,2830,LC,77
tiny_plantnet300k/355/ae1ac9cebf353a23038315bcdad04fe743267820.jpg,784,355,"Lophiolepis eriophora (L.) Del Guacchio, Bureš, Iamonico & P.Caputo",Lophiolepis,3,804,Not assessed,78
tiny_plantnet300k/192/5f137146209789efad51df6879748d333d663db4.jpg,759,192,Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,Heptapleurum,3,2343,Not assessed,79
tiny_plantnet300k/125/4ce51882fb8ae45eedce475c3c93d5cca45b1f95.jpg,744,125,Althaea officinalis L.,Althaea,2,978,LC,80
tiny_plantnet300k/246/ab3d64a96e9639ae7da781016e083cda3251a5c6.jpg,742,246,Lactuca sativa L.,Lactuca,11,5511,Not assessed,81
tiny_plantnet300k/153/42e169df702b69b90333bd95fc8fb7e4716a15b0.jpg,740,153,Anthericum liliago L.,Anthericum,2,891,Not assessed,82
tiny_plantnet300k/373/90c6d715b00ab782b879eb43c29de3758907da23.jpg,732,373,Daphne mezereum L.,Daphne,10,2466,LC,83
tiny_plantnet300k/140/0b908dbc5d82b232609c1c36432038db7ceb080c.jpg,730,140,Daphne gnidium L.,Daphne,10,2466,Not assessed,84
tiny_plantnet300k/66/a074c4d69644fe6425f06f7ff1b39fae29b1cfba.jpg,728,66,Mercurialis perennis L.,Mercurialis,3,2002,Not assessed,85
tiny_plantnet300k/100/b0d8902cfa12d769a55dd72cff799cde8d1ed528.jpg,723,100,Trifolium campestre Schreb.,Trifolium,39,14622,Not assessed,86
tiny_plantnet300k/17/4027a54cec7ffd97ddfe5388826cba3632ba3fdd.jpg,704,17,Lavandula dentata L.,Lavandula,10,5453,Not assessed,87
tiny_plantnet300k/362/fe5ee7a78b598529edc13c8d630a28b935cee8b6.jpg,681,362,Cirsium oleraceum (L.) Scop.,Cirsium,23,11272,Not assessed,88
tiny_plantnet300k/135/d1bef16f756500e07786d3a9054087a0fed376e7.jpg,677,135,Anemone coronaria L.,Anemone,6,1106,Not assessed,89
tiny_plantnet300k/83/61b71271d2dee5db610db9eee0e43214a925a9ba.jpg,661,83,Lamium hybridum Vill.,Lamium,10,12379,Not assessed,90
tiny_plantnet300k/141/989ccfad03962aa5ff2901d46df028d1c67815c4.jpg,661,141,Daphne laureola L.,Daphne,10,2466,LC,91
tiny_plantnet300k/935/6479e2098904fb0bffd33c39d305d4f1b48033b9.jpg,658,935,Sedum adolphi Raym.-Hamet,Sedum,49,10171,Not assessed,92
tiny_plantnet300k/98/5d025a1ae2bcb3d34d68983ecd22027d807a43e2.jpg,648,98,Trifolium arvense L.,Trifolium,39,14622,LC,93
tiny_plantnet300k/472/7c1bec96c8db558d632597f662025a540abff4b3.jpg,646,472,Pulsatilla vulgaris Mill.,Pulsatilla,8,2316,Not assessed,94
tiny_plantnet300k/222/488739477cef55384356df1982638416429b867a.jpg,622,222,Trifolium dubium Sibth.,Trifolium,39,14622,Not assessed,95
tiny_plantnet300k/54/6e3a639d60f7e4b23aba849519f12fdd6c290469.jpg,620,54,Sedum dasyphyllum L.,Sedum,49,10171,Not assessed,96
tiny_plantnet300k/42/318c32227c3447fb461d8196905bdf4cdcc5f7ab.jpg,571,42,Lactuca muralis (L.) Gaertn.,Lactuca,11,5511,LC,97
tiny_plantnet300k/607/3183afdc6163170b17e92794a39be005f12f739e.jpg,570,607,Peperomia obtusifolia (L.) A.Dietr.,Peperomia,20,2134,Not assessed,98
tiny_plantnet300k/227/2757b2c6a23054432dfd15d0220901f5c621a2c8.jpg,566,227,Melilotus indicus (L.) All.,Melilotus,7,2830,Not assessed,99
tiny_plantnet300k/27/46afc0d3614491b334e8ec691e0da6365a120f08.jpg,550,27,Nephrolepis exaltata (L.) Schott,Nephrolepis,5,1117,LC,100
tiny_plantnet300k/211/8e96f4fca6ad7cecb272b2bb4cd68cdedc34677c.jpg,543,211,Phalaris arundinacea L.,Phalaris,6,696,LC,101
tiny_plantnet300k/217/1ca5706197990c344b08fe7698bcf61205530310.jpg,528,217,Lupinus angustifolius L.,Lupinus,20,3194,LC,102
tiny_plantnet300k/528/ff6de4019aaac6fcf506bae8ea7b42128a910a1e.jpg,511,528,Lactuca perennis L.,Lactuca,11,5511,DD,103
tiny_plantnet300k/783/200e8e94e52853f04dfdc9c68eba8c9c240b6b2c.jpg,504,783,Sedum morganianum E.Walther,Sedum,49,10171,Not assessed,104
tiny_plantnet300k/403/2fc7635270b066bb71e24c6c6fe09688028f74f2.jpg,502,403,Veronica salicifolia G.Forst.,Veronica,5,727,Not assessed,105
tiny_plantnet300k/678/6967201aa8d5888e48e260093c66a32e9a3ecda7.jpg,492,678,Dendrobium nobile Lindl.,Dendrobium,12,642,Not assessed,106
tiny_plantnet300k/148/208a15e2d8d6aeef8f2c8b2378b65bc4ba88501c.jpg,486,148,Thapsia villosa L.,Thapsia,2,511,Not assessed,107
tiny_plantnet300k/517/a64e4ff9fb1ed80f662fed8e91189eb7f653d7ac.jpg,479,517,Anemonoides ranunculoides (L.) Holub,Anemonoides,7,4986,Not assessed,108
tiny_plantnet300k/30/8325fae718bb8beaac966228c9a0b1a956ef156d.jpg,473,30,Lithodora fruticosa (L.) Griseb.,Lithodora,1,473,Not assessed,109
tiny_plantnet300k/475/abbcacc25e1ab752cff1bed28c2000a907324804.jpg,471,475,"Anemonoides sylvestris (L.) Galasso, Banfi & Soldano",Anemonoides,7,4986,Not assessed,110
tiny_plantnet300k/550/babcdf415b43f349848abb9c9e1c965c3a9201e5.jpg,456,550,Anemonoides blanda (Schott & Kotschy) Holub,Anemonoides,7,4986,Not assessed,111
tiny_plantnet300k/422/628f94f1a35a75633993d796a97d1d49beab14ab.jpg,450,422,Lathraea clandestina L.,Lathraea,2,721,Not assessed,112
tiny_plantnet300k/499/d5efce1a0646cdaeb03b6ea29ad6d5a37c0acc32_1434712.jpg,434,499,Metasequoia glyptostroboides Hu & W.C.Cheng,Metasequoia,1,434,EN,113
tiny_plantnet300k/92/c4180fe3135fe8ec1e29fe2aa0a594d9e23668e6.jpg,428,92,Galega officinalis L.,Galega,2,437,LC,114
tiny_plantnet300k/405/d009142b48be39ad26b1e28c15a653e795070a60.jpg,420,405,Hippophae rhamnoides L.,Hippophae,1,420,LC,115
tiny_plantnet300k/0/cba5ff7ed8984994345dff343b145810a33d55c8.jpg,415,0,Lactuca virosa L.,Lactuca,11,5511,DD,116
tiny_plantnet300k/201/50922af7ef4f65af3190d48db5c71f712d7fce1a.jpg,410,201,Papaver dubium L.,Papaver,7,7858,Not assessed,117
tiny_plantnet300k/514/6ca0f5f6b4c0cafd15b3eec9ac1001d964e5b606.jpg,399,514,Adenostyles alpina (L.) Bluff & Fingerh.,Adenostyles,3,734,Not assessed,118
tiny_plantnet300k/26/f464ce38df670990080b1eb48444cebdc08ae710.jpg,389,26,Nephrolepis cordifolia (L.) C.Presl,Nephrolepis,5,1117,Not assessed,119
tiny_plantnet300k/425/155898be5bf2824869f6db6fe8f8094f5203cba7.jpg,379,425,Lavandula latifolia Medik.,Lavandula,10,5453,LC,120
tiny_plantnet300k/468/aa19fe0c7bd402301470334d17a3d58206dbc7e3.jpg,363,468,Pelargonium x hybridum (L.) L'Hér.,Pelargonium,18,6170,Not assessed,121
tiny_plantnet300k/165/6181cbdfde1ff8819593982fc5a8d1bb0f02ba85.jpg,359,165,Ophrys scolopax Cav.,Ophrys,23,3652,LC,122
tiny_plantnet300k/817/215347a45bb53dd8ec54e187fa59ba1cbbc408d2.jpg,357,817,Alocasia sanderiana W.Bull,Alocasia,12,1020,CR,123
tiny_plantnet300k/383/a556331983f871a1129d9656d1f086915ff17e84.jpg,354,383,Epipactis atrorubens (Hoffm.) Besser,Epipactis,9,1614,LC,124
tiny_plantnet300k/946/bc608c1d77c6d6229067b96f62f16cd415fd8536.jpg,352,946,Sedum x rubrotinctum R.T.Clausen,Sedum,49,10171,Not assessed,125
tiny_plantnet300k/196/0e4107bcf08c5f85e41b0af1cc4428b91d7792ae.jpg,351,196,Anemone hortensis L.,Anemone,6,1106,Not assessed,126
tiny_plantnet300k/417/40f04399d12ac7ae4a0a2c47dfa0475fff5451a2.jpg,350,417,Cicerbita alpina (L.) Wallr.,Cicerbita,3,532,Not assessed,127
tiny_plantnet300k/430/f9889044a71da870048c48e8001b237a274748ef.jpg,347,430,Maianthemum bifolium (L.) F.W.Schmidt,Maianthemum,5,786,Not assessed,128
tiny_plantnet300k/439/e711be9b13750b3255719e702954198175ddaf7b.jpg,345,439,"Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase",Neotinea,5,540,LC,129
tiny_plantnet300k/376/1438d0beb4fef985503f731ad8e49c2d275442ef.jpg,329,376,Dryas octopetala L.,Dryas,1,329,Not assessed,130
tiny_plantnet300k/118/c38e09c212ad7fcbcbaec406d2c9bd5b58631a4c.jpg,329,118,Trifolium stellatum L.,Trifolium,39,14622,Not assessed,131
tiny_plantnet300k/97/41da2ec1514e8398d86c25572be82bbcfe3c2d6c.jpg,327,97,Trifolium angustifolium L.,Trifolium,39,14622,LC,132
tiny_plantnet300k/566/7271968a2eee573d10ee70f16da5d92dbb9c033a.jpg,325,566,Cucurbita moschata Duchesne,Cucurbita,5,2675,Not assessed,133
tiny_plantnet300k/325/df213273d6ab439f7288c9b96907c7bec1139a83.jpg,319,325,Ophrys holosericea nan,Ophrys,23,3652,Not assessed,134
tiny_plantnet300k/28/f337abb1e0fda5be310b4fda6ed012a44cc0e468.jpg,312,28,Osmunda regalis L.,Osmunda,2,369,LC,135
tiny_plantnet300k/238/3e55bffe1daafec2cfd31a9382f6dacf3cb5b395.jpg,309,238,Potentilla indica (Andrews) Th.Wolf,Potentilla,1,309,Not assessed,136
tiny_plantnet300k/195/25d6123222a94d22e865ce852bb608c174b77ed9.jpg,309,195,Cenchrus setaceus (Forssk.) Morrone,Cenchrus,7,430,LC,137
tiny_plantnet300k/461/cbf85d7e28b70d1b3f2e1aee901db3291713b924.jpg,306,461,"Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso",Oreomecon,4,403,Not assessed,138
tiny_plantnet300k/154/a5039bd50dd047aed4ddbe373314b6473beb8275.jpg,304,154,Butomus umbellatus L.,Butomus,1,304,LC,139
tiny_plantnet300k/638/08a40f7a1d17a061eec986d390848fe54572110b.jpg,298,638,Alocasia macrorrhizos (L.) G.Don,Alocasia,12,1020,Not assessed,140
tiny_plantnet300k/32/542ea7dff51a5d92c5d993de5b435df1ed09a087.jpg,292,32,Gypsophila vaccaria (L.) Sm.,Gypsophila,1,292,Not assessed,141
tiny_plantnet300k/45/099956ce9fd68ef70f87a572eda292678658a138.jpg,292,45,Limbarda crithmoides (L.) Dumort.,Limbarda,1,292,Not assessed,142
tiny_plantnet300k/506/9866e5dee50dab65d71d2f90f70eb62bd28268d6.jpg,291,506,Trifolium alpinum L.,Trifolium,39,14622,LC,143
tiny_plantnet300k/410/62bfc9afe3a78d7169d68aa869a3dcef15e4d65b.jpg,289,410,Hypericum maculatum Crantz,Hypericum,37,11946,Not assessed,144
tiny_plantnet300k/547/b673a9c78469d98639e2cf5a6937cc889ac74bb5.jpg,288,547,Calycanthus floridus L.,Calycanthus,2,292,Not assessed,145
tiny_plantnet300k/641/b8ff5d95b02464b6631e9688bc13310b6ce52a56.jpg,271,641,Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier,Fragaria,7,4540,Not assessed,146
tiny_plantnet300k/423/b964bddb189873ac3e977ea697b7e593113140bb.jpg,271,423,Lathraea squamaria L.,Lathraea,2,721,Not assessed,147
tiny_plantnet300k/749/6ed9184055f2351a364508609843f735865ad38e.jpg,267,749,Sedum spathulifolium Hook.,Sedum,49,10171,Not assessed,148
tiny_plantnet300k/674/98983acec52cdde9fdf8507a66db3a0bf731f8f7.jpg,266,674,Peperomia caperata Yunck.,Peperomia,20,2134,Not assessed,149
tiny_plantnet300k/541/626b43d0690baec9f53f166ec84751b0a2d873ac.jpg,263,541,Adenostyles alliariae (Gouan) Kern.,Adenostyles,3,734,Not assessed,150
tiny_plantnet300k/520/66f2a01964b544849074d1083eaf1467e6ce93dc.jpg,262,520,Cirsium acaule nan,Cirsium,23,11272,Not assessed,151
tiny_plantnet300k/38/aa19002207f8c270077899e600065e6996a2c3d0.jpg,261,38,Phonus lanatus (L.) Hill,Phonus,1,261,Not assessed,152
tiny_plantnet300k/928/cdcdd313e7a72cbd71bedfbda99b807f48beb9cc.jpg,260,928,Tradescantia sillamontana Matuda,Tradescantia,12,7631,Not assessed,153
tiny_plantnet300k/233/ef120877c50bb9f72dd4247bb573603f16cc9953.jpg,259,233,Acacia retinodes Schltdl.,Acacia,20,1893,Not assessed,154
tiny_plantnet300k/498/f36857df295a51a1dd2005d8adf2ee4e843ad2d3.jpg,258,498,Sedum sexangulare L.,Sedum,49,10171,Not assessed,155
tiny_plantnet300k/937/5f772cb19d492bb07c0981a3fb57e83fc1ba1139.jpg,255,937,Sedum burrito Moran,Sedum,49,10171,Not assessed,156
tiny_plantnet300k/524/6a1ecd79557fbc095a09849a157bc970ec7db2f5.jpg,255,524,Fragaria viridis Weston,Fragaria,7,4540,LC,157
tiny_plantnet300k/234/36e794d7649220cdf8c324a6cd282d587e66cd28.jpg,255,234,Barbarea verna (Mill.) Asch.,Barbarea,5,1420,DD,158
tiny_plantnet300k/797/5cce61452a546c34642b29d5ad83950c60111b68.jpg,251,797,Liriope muscari (Decne.) L.H.Bailey,Liriope,1,251,Not assessed,159
tiny_plantnet300k/333/fd4b465beb54994ef60a29842cb3ea88372ac3a2.jpg,250,333,Sedum pachyphyllum Rose,Sedum,49,10171,Not assessed,160
tiny_plantnet300k/445/0fcf5efae5575bc93838547babf53bfd5ce495fd.jpg,247,445,Ophrys sphegodes nan,Ophrys,23,3652,Not assessed,161
tiny_plantnet300k/73/1c9e66d1a941166f4988615fb39a163912a44804.jpg,247,73,Hypericum hirsutum L.,Hypericum,37,11946,Not assessed,162
tiny_plantnet300k/387/660d4d76e588e63afe14fd5bb95156cfa2800a0a.jpg,245,387,Epipactis palustris (L.) Crantz,Epipactis,9,1614,LC,163
tiny_plantnet300k/531/cb1856e83a220b0272814651e085863bbb67addd.jpg,244,531,Trifolium medium L.,Trifolium,39,14622,Not assessed,164
tiny_plantnet300k/173/c1dc9f82285539031773cd7c48548e810804f499.jpg,243,173,Casuarina cunninghamiana Miq.,Casuarina,2,341,LC,165
tiny_plantnet300k/174/31638e786ae941d4fce80e6fa41a6be395911432.jpg,242,174,Trifolium rubens L.,Trifolium,39,14622,Not assessed,166
tiny_plantnet300k/139/a04f684b7b827f493aaa7036796b325376ed01c0.jpg,240,139,Hyoscyamus niger L.,Hyoscyamus,2,473,Not assessed,167
tiny_plantnet300k/624/55c79b10b37a0c2b7e748c8cea7b972f35fe2c74.jpg,239,624,Acalypha wilkesiana Müll.Arg.,Acalypha,8,629,LC,168
