idx_new,new_full_species,key_to_merge,n_repeat,new_author,new_species,new_epithet,Unmatched_terms,new_genus,iucn_status
24,Dryopteris affinis (Lowe) Fraser-Jenk.,['1356380'],1,(Lowe) Fraser-Jenk.,Dryopteris affinis,affinis,,Dryopteris,LC
25,Dryopteris filix-mas (L.) Schott,['1356382'],1,(L.) Schott,Dryopteris filix-mas,filix-mas,,Dryopteris,LC
26,Nephrolepis cordifolia (L.) C.Presl,"['1356420', '1389294']",2,(L.) C.Presl,Nephrolepis cordifolia,cordifolia,,Nephrolepis,Not assessed
27,Nephrolepis exaltata (L.) Schott,['1356421'],1,(L.) Schott,Nephrolepis exaltata,exaltata,,Nephrolepis,LC
28,Osmunda regalis L.,['1356428'],1,L.,Osmunda regalis,regalis,,Osmunda,LC
29,Achyranthes aspera L.,['1356469'],1,L.,Achyranthes aspera,aspera,,Achyranthes,Not assessed
30,Lithodora fruticosa (L.) Griseb.,['1356692'],1,(L.) Griseb.,Lithodora fruticosa,fruticosa,,Lithodora,Not assessed
31,Humulus lupulus L.,['1356781'],1,L.,Humulus lupulus,lupulus,,Humulus,LC
32,Gypsophila vaccaria (L.) Sm.,['1356816'],1,(L.) Sm.,Gypsophila vaccaria,hispanica,,Gypsophila,Not assessed
33,Spergularia rubra (L.) J.Presl & C.Presl,['1356847'],1,(L.) J.Presl & C.Presl,Spergularia rubra,rubra,,Spergularia,Not assessed
34,Moehringia trinervia (L.) Clairv.,['1356901'],1,(L.) Clairv.,Moehringia trinervia,trinervia,,Moehringia,Not assessed
35,Calendula officinalis L.,['1357330'],1,L.,Calendula officinalis,officinalis,,Calendula,Not assessed
36,Calendula stellata Cav.,['1357331'],1,Cav.,Calendula stellata,stellata,,Calendula,Not assessed
37,Carthamus caeruleus L.,['1357367'],1,L.,Carthamus caeruleus,caeruleus,,Carthamus,Not assessed
38,Phonus lanatus (L.) Hill,['1357379'],1,(L.) Hill,Phonus lanatus,lanatus,,Phonus,Not assessed
39,Cirsium monspessulanum (L.) Hill.,['1357506'],1,(L.) Hill.,Cirsium monspessulanum,monspessulanum,,Cirsium,Not assessed
40,Helminthotheca echioides (L.) Holub,['1357635'],1,(L.) Holub,Helminthotheca echioides,echioides,,Helminthotheca,Not assessed
41,Hyoseris radiata L.,['1357652'],1,L.,Hyoseris radiata,radiata,,Hyoseris,Not assessed
42,Lactuca muralis (L.) Gaertn.,['1357677'],1,(L.) Gaertn.,Lactuca muralis,muralis,,Lactuca,LC
43,Lactuca saligna L.,['1357681'],1,L.,Lactuca saligna,saligna,,Lactuca,LC
44,Lactuca tenerrima Pourr.,['1357682'],1,Pourr.,Lactuca tenerrima,tenerrima,,Lactuca,LC
45,Limbarda crithmoides (L.) Dumort.,['1357705'],1,(L.) Dumort.,Limbarda crithmoides,crithmoides,,Limbarda,Not assessed
46,Sedum acre L.,['1358094'],1,L.,Sedum acre,acre,,Sedum,LC
47,Sedum album L.,['1358095'],1,L.,Sedum album,album,,Sedum,Not assessed
48,Petrosedum amplexicaule (DC.) Velayos,['1358096'],1,(DC.) Velayos,Petrosedum amplexicaule,amplexicaule,,Petrosedum,Not assessed
49,Sedum andegavense (DC.) Desv.,['1358097'],1,(DC.) Desv.,Sedum andegavense,andegavense,,Sedum,Not assessed
50,Sedum brevifolium DC.,['1358099'],1,DC.,Sedum brevifolium,brevifolium,,Sedum,Not assessed
51,Sedum caeruleum L.,['1358101'],1,L.,Sedum caeruleum,caeruleum,,Sedum,Not assessed
52,Sedum cespitosum (Cav.) DC.,['1358102'],1,(Cav.) DC.,Sedum cespitosum,cespitosum,,Sedum,Not assessed
53,Sedum cepaea L.,['1358103'],1,L.,Sedum cepaea,cepaea,,Sedum,Not assessed
54,Sedum dasyphyllum L.,['1358105'],1,L.,Sedum dasyphyllum,dasyphyllum,,Sedum,Not assessed
55,Petrosedum forsterianum (Sm.) Grulich,['1358108'],1,(Sm.) Grulich,Petrosedum forsterianum,forsterianum,,Petrosedum,Not assessed
56,Sedum hirsutum All.,['1358112'],1,All.,Sedum hirsutum,hirsutum,,Sedum,Not assessed
57,Sedum litoreum Guss.,['1358119'],1,Guss.,Sedum litoreum,litoreum,,Sedum,Not assessed
58,Sedum multiceps Coss. & Durieu,['1358127'],1,Coss. & Durieu,Sedum multiceps,multiceps,,Sedum,Not assessed
59,Sedum rubens L.,['1358132'],1,L.,Sedum rubens,rubens,,Sedum,Not assessed
60,Petrosedum sediforme (Jacq.) Grulich,['1358133'],1,(Jacq.) Grulich,Petrosedum sediforme,sediforme,,Petrosedum,Not assessed
61,Alliaria petiolata (M.Bieb.) Cavara & Grande,"['1358150', '1392475']",2,(M.Bieb.) Cavara & Grande,Alliaria petiolata,petiolata,,Alliaria,Not assessed
62,Boscia integrifolia J.St.-Hil.,['1358193'],1,J.St.-Hil.,Boscia integrifolia,angustifolia,,Boscia,LC
63,Fibigia clypeata (L.) Medik.,['1358302'],1,(L.) Medik.,Fibigia clypeata,clypeata,,Fibigia,Not assessed
64,Maerua angolensis DC.,['1358365'],1,DC.,Maerua angolensis,angolensis,,Maerua,LC
65,Acalypha virginica L.,['1358519'],1,L.,Acalypha virginica,virginica,,Acalypha,Not assessed
66,Mercurialis perennis L.,['1358605'],1,L.,Mercurialis perennis,perennis,,Mercurialis,Not assessed
67,Phyllanthus reticulatus Poir.,['1358608'],1,Poir.,Phyllanthus reticulatus,reticulatus,,Phyllanthus,LC
68,Hypericum androsaemum L.,['1358689'],1,L.,Hypericum androsaemum,androsaemum,,Hypericum,Not assessed
69,Hypericum australe Ten.,['1358690'],1,Ten.,Hypericum australe,australe,,Hypericum,Not assessed
70,Hypericum canariense L.,['1358691'],1,L.,Hypericum canariense,canariense,,Hypericum,LC
71,Hypericum empetrifolium Willd.,['1358695'],1,Willd.,Hypericum empetrifolium,empetrifolium,,Hypericum,Not assessed
72,Hypericum hircinum L.,['1358699'],1,L.,Hypericum hircinum,hircinum,,Hypericum,Not assessed
73,Hypericum hirsutum L.,['1358700'],1,L.,Hypericum hirsutum,hirsutum,,Hypericum,Not assessed
74,Hypericum humifusum L.,['1358701'],1,L.,Hypericum humifusum,humifusum,,Hypericum,Not assessed
75,Hypericum linariifolium Vahl,['1358703'],1,Vahl,Hypericum linariifolium,linariifolium,,Hypericum,Not assessed
76,Hypericum montanum L.,['1358704'],1,L.,Hypericum montanum,montanum,,Hypericum,Not assessed
77,Hypericum perfoliatum L.,['1358706'],1,L.,Hypericum perfoliatum,perfoliatum,,Hypericum,Not assessed
78,Hypericum tetrapterum Fr.,['1358710'],1,Fr.,Hypericum tetrapterum,tetrapterum,,Hypericum,Not assessed
79,Hypericum tomentosum L.,['1358711'],1,L.,Hypericum tomentosum,tomentosum,,Hypericum,Not assessed
80,Lamium bifidum Cirillo,['1358748'],1,Cirillo,Lamium bifidum,bifidum,,Lamium,Not assessed
81,Lamium flexuosum Ten.,['1358749'],1,Ten.,Lamium flexuosum,flexuosum,,Lamium,Not assessed
82,Lamium garganicum L.,['1358750'],1,L.,Lamium garganicum,garganicum,,Lamium,Not assessed
83,Lamium hybridum Vill.,['1358751'],1,Vill.,Lamium hybridum,hybridum,,Lamium,Not assessed
84,Lamium purpureum L.,['1358752'],1,L.,Lamium purpureum,purpureum,,Lamium,Not assessed
85,Lavandula canariensis Mill.,"['1358755', '1560405']",2,Mill.,Lavandula canariensis,canariensis,,Lavandula,Not assessed
86,Lavandula minutolii Bolle,['1358759'],1,Bolle,Lavandula minutolii,minutolii,,Lavandula,Not assessed
87,Lavandula multifida L.,['1358760'],1,L.,Lavandula multifida,multifida,,Lavandula,Not assessed
88,Lavandula stoechas L.,['1358766'],1,L.,Lavandula stoechas,stoechas,,Lavandula,Not assessed
89,Senegalia mellifera (Vahl) Seigler & Ebinger,['1359060'],1,(Vahl) Seigler & Ebinger,Senegalia mellifera,mellifera,,Senegalia,LC
90,Vachellia seyal (Delile) P.J.H.Hurter,['1359064'],1,(Delile) P.J.H.Hurter,Vachellia seyal,seyal,,Vachellia,LC
91,Vachellia tortilis (Forssk.) Galasso & Banfi,['1359065'],1,(Forssk.) Galasso & Banfi,Vachellia tortilis,tortilis,,Vachellia,LC
92,Galega officinalis L.,['1359197'],1,L.,Galega officinalis,officinalis,,Galega,LC
93,Lupinus cosentinii Guss.,['1359331'],1,Guss.,Lupinus cosentinii,cosentinii,,Lupinus,LC
94,Lupinus gussoneanus J.Agardh,['1359332'],1,J.Agardh,Lupinus gussoneanus,micranthus,,Lupinus,LC
95,Melilotus italicus (L.) Lam.,['1359359'],1,(L.) Lam.,Melilotus italicus,italicus,,Melilotus,LC
96,Melilotus sulcatus Desf.,['1359364'],1,Desf.,Melilotus sulcatus,sulcatus,,Melilotus,Not assessed
97,Trifolium angustifolium L.,['1359483'],1,L.,Trifolium angustifolium,angustifolium,,Trifolium,LC
98,Trifolium arvense L.,['1359485'],1,L.,Trifolium arvense,arvense,,Trifolium,LC
99,Trifolium aureum Pollich,['1359486'],1,Pollich,Trifolium aureum,aureum,,Trifolium,Not assessed
100,Trifolium campestre Schreb.,['1359488'],1,Schreb.,Trifolium campestre,campestre,,Trifolium,Not assessed
101,Trifolium cherleri L.,['1359489'],1,L.,Trifolium cherleri,cherleri,,Trifolium,Not assessed
102,Trifolium hirtum All.,['1359495'],1,All.,Trifolium hirtum,hirtum,,Trifolium,Not assessed
103,Trifolium hybridum L.,['1359497'],1,L.,Trifolium hybridum,hybridum,,Trifolium,LC
104,Trifolium incarnatum L.,['1359498'],1,L.,Trifolium incarnatum,incarnatum,,Trifolium,LC
105,Trifolium lappaceum L.,['1359502'],1,L.,Trifolium lappaceum,lappaceum,,Trifolium,Not assessed
106,Trifolium michelianum Savi,['1359505'],1,Savi,Trifolium michelianum,michelianum,,Trifolium,Not assessed
107,Trifolium micranthum Viv.,['1359506'],1,Viv.,Trifolium micranthum,micranthum,,Trifolium,Not assessed
108,Trifolium montanum L.,['1359508'],1,L.,Trifolium montanum,montanum,,Trifolium,Not assessed
109,Trifolium ochroleucon Huds.,['1359510'],1,Huds.,Trifolium ochroleucon,ochroleucon,,Trifolium,Not assessed
110,Trifolium pannonicum Jacq.,['1359513'],1,Jacq.,Trifolium pannonicum,pannonicum,,Trifolium,Not assessed
111,Trifolium patens Schreb.,['1359514'],1,Schreb.,Trifolium patens,patens,,Trifolium,Not assessed
112,Trifolium pratense L.,['1359517'],1,L.,Trifolium pratense,pratense,,Trifolium,LC
113,Trifolium purpureum Loisel.,['1359518'],1,Loisel.,Trifolium purpureum,purpureum,,Trifolium,Not assessed
114,Trifolium resupinatum L.,['1359519'],1,L.,Trifolium resupinatum,resupinatum,,Trifolium,LC
115,Trifolium scabrum L.,['1359521'],1,L.,Trifolium scabrum,scabrum,,Trifolium,LC
116,Trifolium spumosum L.,['1359523'],1,L.,Trifolium spumosum,spumosum,,Trifolium,Not assessed
117,Trifolium squamosum L.,['1359524'],1,L.,Trifolium squamosum,squamosum,,Trifolium,Not assessed
118,Trifolium stellatum L.,['1359525'],1,L.,Trifolium stellatum,stellatum,,Trifolium,Not assessed
119,Trifolium striatum L.,['1359526'],1,L.,Trifolium striatum,striatum,,Trifolium,Not assessed
120,Trifolium subterraneum L.,['1359528'],1,L.,Trifolium subterraneum,subterraneum,,Trifolium,LC
121,Trifolium tomentosum L.,['1359530'],1,L.,Trifolium tomentosum,tomentosum,,Trifolium,Not assessed
122,Punica granatum L.,['1359616'],1,L.,Punica granatum,granatum,,Punica,LC
123,Alcea rosea L.,['1359620'],1,L.,Alcea rosea,rosea,,Alcea,Not assessed
124,Althaea cannabina L.,['1359622'],1,L.,Althaea cannabina,cannabina,,Althaea,Not assessed
125,Althaea officinalis L.,['1359625'],1,L.,Althaea officinalis,officinalis,,Althaea,LC
126,Nymphaea alba L.,['1359669'],1,L.,Nymphaea alba,alba,,Nymphaea,LC
127,Hunnemannia fumariifolia Sweet,['1359806'],1,Sweet,Hunnemannia fumariifolia,fumariifolia,,Hunnemannia,Not assessed
128,Papaver atlanticum (Ball) Coss.,['1359815'],1,(Ball) Coss.,Papaver atlanticum,atlanticum,,Papaver,Not assessed
129,Papaver rupifragum Boiss. & Reut.,['1359821'],1,Boiss. & Reut.,Papaver rupifragum,rupifragum,,Papaver,Not assessed
130,Goniolimon tataricum (L.) Boiss.,['1360004'],1,(L.) Boiss.,Goniolimon tataricum,tataricum,,Goniolimon,Not assessed
131,Adonis aestivalis L.,['1360147'],1,L.,Adonis aestivalis,aestivalis,,Adonis,Not assessed
132,Adonis annua L.,['1360148'],1,L.,Adonis annua,annua,,Adonis,Not assessed
133,Adonis flammea Jacq.,['1360150'],1,Jacq.,Adonis flammea,flammea,,Adonis,Not assessed
134,Adonis microcarpa DC.,['1360152'],1,DC.,Adonis microcarpa,microcarpa,,Adonis,Not assessed
135,Anemone coronaria L.,['1360153'],1,L.,Anemone coronaria,coronaria,,Anemone,Not assessed
136,Anemone palmata L.,['1360154'],1,L.,Anemone palmata,palmata,,Anemone,Not assessed
137,Oldenlandia corymbosa L.,['1360427'],1,L.,Oldenlandia corymbosa,corymbosa,,Oldenlandia,Not assessed
138,Hyoscyamus albus L.,['1360550'],1,L.,Hyoscyamus albus,albus,,Hyoscyamus,Not assessed
139,Hyoscyamus niger L.,['1360555'],1,L.,Hyoscyamus niger,niger,,Hyoscyamus,Not assessed
140,Daphne gnidium L.,['1360588'],1,L.,Daphne gnidium,gnidium,,Daphne,Not assessed
141,Daphne laureola L.,['1360590'],1,L.,Daphne laureola,laureola,,Daphne,LC
142,Daphne oleoides Schreb.,['1360591'],1,Schreb.,Daphne oleoides,oleoides,,Daphne,Not assessed
143,Berula erecta (Huds.) Coville,['1360618'],1,(Huds.) Coville,Berula erecta,erecta,,Berula,LC
144,Chaerophyllum temulum L.,['1360671'],1,L.,Chaerophyllum temulum,temulum,,Chaerophyllum,Not assessed
145,Daucus muricatus (L.) L.,['1360687'],1,(L.) L.,Daucus muricatus,muricatus,,Daucus,LC
146,Meum athamanticum Jacq.,['1360759'],1,Jacq.,Meum athamanticum,athamanticum,,Meum,Not assessed
147,Thapsia garganica L.,['1360808'],1,L.,Thapsia garganica,garganica,,Thapsia,Not assessed
148,Thapsia villosa L.,['1360811'],1,L.,Thapsia villosa,villosa,,Thapsia,Not assessed
149,Valeriana calcitrapae L.,['1360835'],1,L.,Valeriana calcitrapae,calcitrapae,,Valeriana,Not assessed
150,Valeriana cornucopiae L.,['1360838'],1,L.,Valeriana cornucopiae,cornucopiae,,Valeriana,Not assessed
151,Pancratium canariense Ker Gawl.,['1360976'],1,Ker Gawl.,Pancratium canariense,canariense,,Pancratium,Not assessed
152,Pancratium maritimum L.,"['1360978', '1421011']",2,L.,Pancratium maritimum,maritimum,,Pancratium,LC
153,Anthericum liliago L.,['1360998'],1,L.,Anthericum liliago,liliago,,Anthericum,Not assessed
154,Butomus umbellatus L.,['1361024'],1,L.,Butomus umbellatus,umbellatus,,Butomus,LC
155,Danthonia decumbens (L.) DC.,['1361233'],1,(L.) DC.,Danthonia decumbens,decumbens,,Danthonia,Not assessed
156,Leersia oryzoides (L.) Sw.,['1361316'],1,(L.) Sw.,Leersia oryzoides,oryzoides,,Leersia,LC
157,Phalaris coerulescens Desf.,['1361357'],1,Desf.,Phalaris coerulescens,coerulescens,,Phalaris,LC
158,Scilla peruviana L.,"['1361507', '1361508']",2,L.,Scilla peruviana,elongata,,Scilla,Not assessed
159,Elodea canadensis Michx.,['1361524'],1,Michx.,Elodea canadensis,canadensis,,Elodea,LC
160,Neotinea maculata (Desf.) Stearn,['1361655'],1,(Desf.) Stearn,Neotinea maculata,maculata,,Neotinea,LC
161,Ophrys apifera Huds.,['1361656'],1,Huds.,Ophrys apifera,apifera,,Ophrys,LC
162,Ophrys bombyliflora Link,['1361658'],1,Link,Ophrys bombyliflora,bombyliflora,,Ophrys,LC
163,Ophrys fusca Link,['1361660'],1,Link,Ophrys fusca,fusca,,Ophrys,LC
164,Ophrys lutea Cav.,['1361663'],1,Cav.,Ophrys lutea,lutea,,Ophrys,LC
165,Ophrys scolopax Cav.,['1361666'],1,Cav.,Ophrys scolopax,scolopax,,Ophrys,LC
166,Ophrys speculum Link,['1361668'],1,Link,Ophrys speculum,speculum,,Ophrys,LC
167,Ophrys tenthredinifera Willd.,['1361672'],1,Willd.,Ophrys tenthredinifera,tenthredinifera,,Ophrys,LC
168,Groenlandia densa (L.) Fourr.,['1361704'],1,(L.) Fourr.,Groenlandia densa,densa,,Groenlandia,LC
169,Stellaria aquatica (L.) Scop.,['1361745'],1,(L.) Scop.,Stellaria aquatica,aquaticum,,Stellaria,Not assessed
170,Cirsium palustre (L.) Scop.,"['1361759', '1503981']",2,(L.) Scop.,Cirsium palustre,palustre,,Cirsium,Not assessed
171,Lamium galeobdolon (L.) L.,['1361823'],1,(L.) L.,Lamium galeobdolon,galeobdolon,,Lamium,Not assessed
172,Lavandula angustifolia Mill.,['1361824'],1,Mill.,Lavandula angustifolia,angustifolia,,Lavandula,LC
173,Casuarina cunninghamiana Miq.,['1361847'],1,Miq.,Casuarina cunninghamiana,cunninghamiana,,Casuarina,LC
174,Trifolium rubens L.,['1361850'],1,L.,Trifolium rubens,rubens,,Trifolium,Not assessed
175,Falcaria vulgaris Bernh.,['1361891'],1,Bernh.,Falcaria vulgaris,vulgaris,,Falcaria,Not assessed
176,Hypericum triquetrifolium Turra,['1362024'],1,Turra,Hypericum triquetrifolium,triquetrifolium,,Hypericum,Not assessed
177,Wigandia urens (Ruiz & Pav.) Kunth,"['1362064', '1379585']",2,(Ruiz & Pav.) Kunth,Wigandia urens,caracasana,,Wigandia,Not assessed
178,Nymphaea lotus L.,['1362080'],1,L.,Nymphaea lotus,lotus,,Nymphaea,LC
179,Sedum villosum L.,['1362192'],1,L.,Sedum villosum,villosum,,Sedum,Not assessed
180,Epipactis helleborine (L.) Crantz,['1362294'],1,(L.) Crantz,Epipactis helleborine,helleborine,,Epipactis,LC
181,Thesium humifusum DC.,['1362385'],1,DC.,Thesium humifusum,humifusum,,Thesium,Not assessed
182,Vachellia etbaica (Schweinf.) Kyal. & Boatwr.,['1362398'],1,(Schweinf.) Kyal. & Boatwr.,Vachellia etbaica,etbaica,,Vachellia,LC
183,Valeriana angustifolia Mill.,['1362434'],1,Mill.,Valeriana angustifolia,angustifolius,,Valeriana,Not assessed
184,Valeriana lecoqii (Jord.) Christenh. & Byng,['1362435'],1,(Jord.) Christenh. & Byng,Valeriana lecoqii,lecoqii,,Valeriana,Not assessed
185,Sedum anglicum Huds.,['1362489'],1,Huds.,Sedum anglicum,anglicum,,Sedum,Not assessed
186,Petrosedum rupestre (L.) P.V.Heath,['1362490'],1,(L.) P.V.Heath,Petrosedum rupestre,rupestre,,Petrosedum,Not assessed
187,Ophrys insectifera L.,['1362516'],1,L.,Ophrys insectifera,insectifera,,Ophrys,LC
188,Freesia refracta (Jacq.) Klatt,"['1362582', '1397556']",2,(Jacq.) Klatt,Freesia refracta,refracta,,Freesia,Not assessed
189,Tuberaria lignosa (Sweet) Samp.,['1362834'],1,(Sweet) Samp.,Tuberaria lignosa,tuberaria,,Tuberaria,Not assessed
190,Tradescantia pallida (Rose) D.R.Hunt,"['1362927', '1408774']",2,(Rose) D.R.Hunt,Tradescantia pallida,pallida,,Tradescantia,Not assessed
191,Cenchrus longispinus (Hack.) Fernald,['1362928'],1,(Hack.) Fernald,Cenchrus longispinus,longispinus,,Cenchrus,Not assessed
192,Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,"['1362954', '1399783', '1408657']",3,(Endl.) Lowry & G.M.Plunkett,Heptapleurum actinophyllum,actinophylla,,Heptapleurum,Not assessed
193,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,['1363016'],1,(Hochst. ex Chiov.) Morrone,Cenchrus clandestinus,clandestinus,,Cenchrus,LC
194,Cenchrus purpureus (Schumach.) Morrone,['1363019'],1,(Schumach.) Morrone,Cenchrus purpureus,purpureus,,Cenchrus,LC
195,Cenchrus setaceus (Forssk.) Morrone,['1363021'],1,(Forssk.) Morrone,Cenchrus setaceus,setaceus,,Cenchrus,LC
196,Anemone hortensis L.,['1363110'],1,L.,Anemone hortensis,hortensis,,Anemone,Not assessed
197,Tradescantia cerinthoides Kunth,['1363117'],1,Kunth,Tradescantia cerinthoides,cerinthoides,,Tradescantia,Not assessed
198,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García",['1363126'],1,"(L.) C.Morales, R.Mend. & Romero García",Roemeria argemone,argemone,,Roemeria,Not assessed
199,"Roemeria sicula (Guss.) Galasso, Banfi, L.Sáez & Bartolucci",['1363127'],1,"(Guss.) Galasso, Banfi, L.Sáez & Bartolucci",Roemeria sicula,hybridum,,Roemeria,Not assessed
200,Papaver rhoeas L.,['1363128'],1,L.,Papaver rhoeas,rhoeas,,Papaver,LC
201,Papaver dubium L.,['1363129'],1,L.,Papaver dubium,dubium,,Papaver,Not assessed
202,Papaver somniferum L.,['1363130'],1,L.,Papaver somniferum,somniferum,,Papaver,LC
203,Daucus carota L.,['1363227'],1,L.,Daucus carota,carota,,Daucus,LC
204,Smilax aspera L.,['1363336'],1,L.,Smilax aspera,aspera,,Smilax,LC
205,Aizoon canariense L.,['1363343'],1,L.,Aizoon canariense,canariense,,Aizoon,Not assessed
206,Zannichellia palustris L.,['1363359'],1,L.,Zannichellia palustris,palustris,,Zannichellia,LC
207,Secale cereale L.,['1363451'],1,L.,Secale cereale,cereale,,Secale,NA
208,Cenchrus ciliaris L.,['1363463'],1,L.,Cenchrus ciliaris,ciliaris,,Cenchrus,LC
209,Cenchrus echinatus L.,['1363464'],1,L.,Cenchrus echinatus,echinatus,,Cenchrus,LC
210,Phalaris aquatica L.,['1363489'],1,L.,Phalaris aquatica,aquatica,,Phalaris,LC
211,Phalaris arundinacea L.,['1363490'],1,L.,Phalaris arundinacea,arundinacea,,Phalaris,LC
212,Phalaris canariensis L.,['1363491'],1,L.,Phalaris canariensis,canariensis,,Phalaris,Not assessed
213,Phalaris minor Retz.,['1363492'],1,Retz.,Phalaris minor,minor,,Phalaris,Not assessed
214,Phalaris paradoxa L.,['1363493'],1,L.,Phalaris paradoxa,paradoxa,,Phalaris,LC
215,Sedum hispanicum L.,['1363613'],1,L.,Sedum hispanicum,hispanicum,,Sedum,Not assessed
216,Crotalaria juncea L.,['1363688'],1,L.,Crotalaria juncea,juncea,,Crotalaria,Not assessed
217,Lupinus angustifolius L.,['1363699'],1,L.,Lupinus angustifolius,angustifolius,,Lupinus,LC
218,Lupinus luteus L.,['1363700'],1,L.,Lupinus luteus,luteus,,Lupinus,LC
219,Lupinus pilosus L.,['1363701'],1,L.,Lupinus pilosus,pilosus,,Lupinus,DD
220,Lupinus albus L.,['1363703'],1,L.,Lupinus albus,albus,,Lupinus,LC
221,Trifolium alexandrinum L.,['1363735'],1,L.,Trifolium alexandrinum,alexandrinum,,Trifolium,NA
222,Trifolium dubium Sibth.,['1363737'],1,Sibth.,Trifolium dubium,dubium,,Trifolium,Not assessed
223,Trifolium glomeratum L.,['1363738'],1,L.,Trifolium glomeratum,glomeratum,,Trifolium,Not assessed
224,Trifolium nigrescens Viv.,['1363739'],1,Viv.,Trifolium nigrescens,nigrescens,,Trifolium,LC
225,Trifolium repens L.,['1363740'],1,L.,Trifolium repens,repens,,Trifolium,LC
226,Dalbergia melanoxylon Guill. & Perr.,['1363743'],1,Guill. & Perr.,Dalbergia melanoxylon,melanoxylon,,Dalbergia,NT
227,Melilotus indicus (L.) All.,['1363749'],1,(L.) All.,Melilotus indicus,indicus,,Melilotus,Not assessed
228,Melilotus officinalis (L.) Lam.,"['1363750', '1393792']",2,(L.) Lam.,Melilotus officinalis,officinalis,,Melilotus,LC
229,Acacia dealbata Link,['1363764'],1,Link,Acacia dealbata,dealbata,,Acacia,LC
230,Acacia longifolia (Andrews) Willd.,['1363769'],1,(Andrews) Willd.,Acacia longifolia,longifolia,,Acacia,LC
231,Acacia mearnsii De Wild.,['1363770'],1,De Wild.,Acacia mearnsii,mearnsii,,Acacia,Not assessed
232,Acacia pycnantha Benth.,['1363772'],1,Benth.,Acacia pycnantha,pycnantha,,Acacia,LC
233,Acacia retinodes Schltdl.,['1363778'],1,Schltdl.,Acacia retinodes,retinodes,,Acacia,Not assessed
234,Barbarea verna (Mill.) Asch.,['1363871'],1,(Mill.) Asch.,Barbarea verna,verna,,Barbarea,DD
235,Barbarea intermedia Boreau,['1363872'],1,Boreau,Barbarea intermedia,intermedia,,Barbarea,DD
