"earn","ht_ft","ht_inches","sex","race","hisp","years_educ","year_of_birth","height_in_inches"
NA,5,11,"male","white","not",8,1937,71
10000,6,0,"male","white","not",12,1941,72
40000,5,6,"female","white","not",16,1956,66
NA,5,9,"male","white","not",18,1946,69
NA,5,9,"male","other","not",8,1955,69
NA,5,3,"female","other","not",13,1952,63
NA,5,4,"female","white","hisp",12,1954,64
0,5,2,"female","white","not",10,1933,62
0,5,0,"female","white","hisp",10,1942,60
NA,5,2,"female","white","not",8,1902,62
25000,5,8,"male","white","not",14,1926,68
25000,5,10,"male","white","not",12,1966,70
25000,5,11,"male","white","not",14,1958,71
19000,5,11,"male","white","not",16,1929,71
44000,5,8,"male","white","not",16,1942,68
0,5,6,"female","white","not",12,1971,66
0,5,3,"female","white","not",18,1935,63
15000,5,0,"female","white","not",14,1941,60
17000,5,3,"female","white","not",12,1954,63
24000,5,8,"male","white","not",12,1934,68
NA,5,10,"male","white","not",16,1952,70
23000,5,4,"female","white","not",12,1953,64
13000,5,10,"male","white","not",12,1916,70
NA,5,6,"female","other","not",98,1918,66
NA,5,6,"female","white","not",12,1941,66
65000,5,8,"male","white","not",16,1944,68
7000,5,1,"female","white","not",12,1927,61
NA,5,7,"female","white","not",16,1957,67
40000,5,8,"male","white","not",18,1927,68
15000,5,6,"female","white","not",17,1947,66
20000,5,10,"male","white","not",16,1965,70
NA,5,8,"male","white","not",6,1913,68
NA,5,6,"female","white","not",14,1916,66
20000,5,11,"male","white","not",12,1940,71
NA,5,3,"male","white","not",9,1923,63
20000,5,5,"female","white","not",12,1948,65
25000,5,6,"female","white","not",12,1941,66
NA,5,4,"female","white","not",14,1970,64
49000,5,10,"male","white","not",13,1953,70
NA,5,10,"male","white","not",8,1966,70
0,5,4,"female","white","not",12,1954,64
NA,5,4,"female","white","not",16,1961,64
0,5,3,"female","white","not",16,1955,63
25000,5,2,"female","white","not",12,1925,62
NA,5,5,"female","white","not",12,1923,65
NA,5,6,"female","white","not",12,1928,66
NA,5,5,"female","white","not",14,1927,65
NA,5,0,"female","white","not",16,1918,60
11000,5,6,"female","white","not",14,1933,66
16000,5,1,"female","white","not",15,1952,61
35000,6,0,"male","white","not",14,1947,72
125000,6,2,"male","white","not",18,1945,74
23000,5,7,"female","white","not",12,1943,67
17000,5,6,"female","white","not",16,1962,66
0,5,2,"female","white","not",13,1959,62
27000,5,2,"female","white","not",12,1949,62
70000,6,0,"male","white","not",14,1958,72
35000,5,5,"female","white","not",15,1943,65
10000,5,0,"female","white","not",12,1928,60
NA,5,4,"female","white","not",13,1960,64
35000,5,2,"female","white","not",15,1951,62
15000,5,6,"female","white","not",12,1952,66
12000,5,4,"female","white","not",12,1951,64
8000,5,11,"male","white","not",12,1922,71
8000,5,5,"female","white","not",12,1940,65
35000,6,1,"male","white","not",18,1940,73
45000,5,9,"male","white","not",11,1939,69
NA,5,5,"female","white","not",12,1953,65
0,5,4,"female","white","not",12,1932,64
NA,5,4,"female","white","not",12,1963,64
NA,5,8,"female","white","not",12,1932,68
15000,5,4,"female","white","not",14,1968,64
15000,5,1,"female","white","not",12,1913,61
NA,6,1,"male","white","not",15,1964,73
24000,5,7,"female","white","not",18,1939,67
25000,5,2,"female","white","not",13,1958,62
NA,6,1,"male","white","not",12,1956,73
25000,5,3,"female","other","not",14,1936,63
20000,5,7,"male","other","not",10,1962,67
24000,5,8,"female","white","not",12,1966,68
44000,6,0,"male","white","not",16,1944,72
69000,5,10,"male","white","not",12,1952,70
62000,5,10,"male","white","not",18,1946,70
NA,5,0,"female","other","not",15,1925,60
32000,5,7,"male","other","not",14,1958,67
20000,5,3,"female","other","not",12,1957,63
32000,5,6,"female","other","not",18,1955,66
25000,5,6,"female","white","not",17,1940,66
170000,5,11,"male","white","not",18,1945,71
NA,5,9,"male","other","not",14,1947,69
0,5,6,"female","other","not",11,1961,66
35000,5,7,"male","white","not",16,1957,67
40000,6,4,"male","other","not",16,1952,76
33000,5,9,"male","white","not",14,1960,69
18000,5,5,"female","white","not",12,1968,65
NA,5,8,"male","white","not",12,1938,68
NA,5,1,"female","white","not",9,1918,61
30000,5,2,"female","white","not",13,1947,62
26000,5,2,"female","white","not",12,1959,62
5000,5,2,"female","white","not",12,1969,62
NA,5,9,"female","white","not",12,1972,69
20000,5,2,"female","white","not",16,1917,62
NA,6,0,"male","white","not",11,1960,72
NA,5,7,"female","white","not",12,1949,67
17000,5,1,"female","white","not",12,1960,61
32000,5,5,"female","white","not",14,1962,65
15000,6,0,"male","white","not",14,1968,72
0,5,6,"female","white","not",17,1949,66
50000,6,0,"male","white","not",14,1935,72
8000,5,4,"female","white","not",12,1951,64
40000,5,11,"male","white","not",14,1939,71
40000,6,0,"male","white","not",15,1949,72
32750,5,6,"male","white","not",12,1956,66
NA,5,8,"male","white","not",12,1970,68
20000,5,5,"female","white","not",14,1921,65
36000,5,5,"female","other","not",15,1951,65
6000,5,2,"female","white","not",12,1926,62
12000,5,6,"female","other","hisp",14,1956,66
NA,5,7,"male","white","not",18,1952,67
60000,5,7,"male","white","not",14,1927,67
40000,5,4,"female","white","not",13,1946,64
NA,6,2,"male","white","hisp",13,1971,74
43000,5,3,"female","white","not",12,1952,63
45000,5,7,"female","white","not",16,1956,67
6000,5,8,"female","white","not",18,1951,68
8000,5,4,"female","other","not",10,1908,64
20000,5,4,"female","other","not",13,1951,64
NA,5,6,"female","white","not",7,1908,66
17000,5,6,"male","other","not",12,1967,66
2000,5,5,"female","white","not",12,1958,65
65000,5,5,"male","white","not",12,1962,65
50000,6,0,"male","white","not",12,1949,72
0,5,8,"female","white","not",11,1936,68
0,5,3,"female","white","not",11,1961,63
NA,5,10,"male","white","not",13,1969,70
11000,5,8,"female","white","not",12,1952,68
35000,6,2,"male","white","not",18,1960,74
27000,5,3,"male","white","not",12,1957,63
3500,5,4,"female","white","not",12,1929,64
NA,5,5,"female","white","not",7,1913,65
42000,5,8,"male","white","not",12,1953,68
NA,5,1,"female","white","not",12,1929,61
20000,5,7,"female","white","not",18,1961,67
15000,5,7,"female","white","not",12,1961,67
10000,6,1,"male","white","not",12,1969,73
0,5,2,"female","white","not",12,1942,62
6000,5,10,"male","white","not",8,1912,70
NA,5,9,"female","white","not",14,1929,69
NA,5,11,"male","white","not",12,1910,71
17000,5,5,"female","white","hisp",16,1967,65
NA,5,2,"female","white","hisp",8,1967,62
35000,5,9,"male","white","hisp",16,1925,69
28000,6,5,"male","white","not",14,1962,77
15000,5,8,"female","white","not",12,1957,68
20000,5,2,"female","white","not",17,1966,62
20000,5,4,"female","white","not",12,1961,64
NA,5,10,"male","white","hisp",18,1960,70
10500,5,7,"male","other","hisp",12,1948,67
13000,5,10,"male","white","not",16,1968,70
10000,5,2,"female","white","not",12,1938,62
3000,5,3,"female","white","not",12,1953,63
24000,5,2,"female","white","not",14,1961,62
0,5,3,"female","white","not",17,1949,63
17000,5,9,"female","white","not",13,1955,69
11000,5,4,"female","white","not",12,1942,64
0,5,4,"female","white","not",14,1953,64
32000,5,9,"female","white","not",14,1950,69
17000,4,11,"female","white","not",15,1964,59
NA,5,1,"female","white","not",16,1943,61
NA,5,0,"female","white","not",12,1915,60
NA,6,0,"male","white","not",12,1941,72
NA,5,8,"male","white","not",14,1935,68
3000,5,6,"female","other","not",12,1955,66
NA,5,3,"female","white","not",8,1930,63
0,5,5,"female","white","not",12,1949,65
NA,5,10,"male","white","not",18,1932,70
NA,6,0,"male","white","not",14,1942,72
2100,5,2,"female","other","not",12,1969,62
NA,5,10,"male","other","not",10,1908,70
NA,5,0,"female","white","not",13,1914,60
NA,5,6,"female","other","not",12,1961,66
NA,5,4,"male","white","hisp",12,1956,64
NA,5,11,"male","white","not",16,1967,71
NA,6,1,"male","other","not",12,1963,73
3192,6,3,"male","other","not",11,1956,75
NA,5,2,"female","other","not",12,1965,62
17000,5,3,"female","white","not",17,1964,63
30000,5,5,"female","white","not",13,1962,65
15000,5,10,"male","white","not",12,1958,70
NA,5,4,"female","white","not",16,1964,64
NA,5,8,"male","other","not",18,1956,68
24000,5,8,"female","white","not",16,1948,68
10000,5,5,"female","white","not",14,1923,65
50000,5,9,"male","white","not",8,1937,69
NA,5,4,"female","white","not",11,1913,64
50000,6,0,"male","white","not",16,1937,72
NA,5,9,"male","white","not",12,1952,69
20000,5,4,"female","white","not",17,1941,64
30000,5,3,"female","white","hisp",18,1936,63
NA,5,8,"female","white","not",18,1954,68
NA,5,8,"female","white","not",18,1949,68
0,5,4,"female","white","not",12,1927,64
0,5,6,"female","white","not",10,1942,66
NA,5,10,"male","white","not",12,1953,70
0,5,3,"female","white","not",5,1932,63
22000,6,1,"female","white","not",14,1945,73
NA,5,9,"male","white","not",12,1970,69
27000,6,3,"male","white","not",12,1966,75
4000,5,5,"female","white","not",12,1952,65
NA,5,4,"female","white","not",16,1949,64
17500,5,6,"female","white","not",17,1964,66
16500,5,6,"female","white","not",14,1962,66
NA,5,4,"female","white","not",18,1953,64
28000,5,4,"female","white","not",16,1951,64
52000,5,6,"female","white","not",18,1940,66
15000,5,4,"female","white","not",16,1961,64
19000,5,3,"female","white","not",13,1958,63
0,5,3,"female","white","not",13,1946,63
NA,5,7,"female","other","not",12,1971,67
NA,5,9,"female","white","not",12,1956,69
27000,6,1,"male","white","not",12,1967,73
15000,6,0,"male","white","not",8,1932,72
NA,5,3,"female","white","not",12,1948,63
0,5,6,"female","white","not",12,1966,66
15000,6,0,"male","white","not",14,1957,72
14500,5,4,"female","white","not",12,1935,64
NA,6,0,"male","white","not",16,1950,72
NA,5,3,"female","white","not",12,1935,63
24000,5,4,"female","white","not",13,1960,64
NA,5,5,"female","white","not",14,1960,65
NA,5,2,"female","white","not",13,1950,62
NA,5,1,"female","white","not",12,1972,61
18000,5,8,"male","white","not",15,1954,68
4000,5,2,"female","white","not",12,1922,62
NA,5,4,"female","white","not",12,1905,64
4000,5,9,"female","white","not",13,1933,69
NA,5,6,"female","white","not",15,1937,66
700,5,0,"female","white","not",12,1954,60
NA,5,4,"female","white","not",15,1957,64
24000,5,5,"female","white","not",12,NA,65
NA,5,0,"female","white","not",12,1930,60
27000,6,4,"male","white","not",12,1951,76
12000,6,0,"female","white","not",12,1955,72
22000,5,2,"female","white","not",18,1943,62
30000,5,2,"female","white","not",13,1954,62
NA,5,10,"male","white","not",16,1955,70
35000,5,11,"male","white","not",12,1929,71
20000,6,2,"male","white","not",12,1948,74
32000,5,5,"female","white","not",16,1958,65
6000,5,3,"female","other","not",12,1959,63
12000,5,7,"female","white","not",12,1951,67
0,5,5,"female","white","not",16,1946,65
10000,5,3,"female","white","not",12,1959,63
1000,5,5,"female","white","not",12,1972,65
12000,5,4,"female","white","not",15,1919,64
16000,5,5,"female","white","not",12,1954,65
NA,5,3,"female","white","not",13,1963,63
0,5,8,"female","white","not",16,1949,68
25000,5,3,"female","white","not",16,1957,63
25000,5,10,"female","white","not",12,1963,70
32000,5,8,"male","white","not",12,1960,68
NA,5,6,"male","white","not",11,1911,66
35000,5,7,"male","white","not",14,1947,67
NA,5,8,"male","white","not",12,1966,68
NA,5,6,"female","white","not",12,1967,66
6000,5,5,"female","white","not",12,1962,65
80000,5,9,"male","white","not",14,1946,69
20000,5,8,"female","white","not",14,1965,68
1000,5,6,"female","white","not",17,1952,66
28000,5,11,"male","white","hisp",13,1952,71
26000,5,4,"male","white","hisp",16,1967,64
27000,6,2,"male","white","not",12,1966,74
18000,5,2,"female","white","not",13,1949,62
2000,5,5,"female","white","not",12,1931,65
20000,5,9,"male","white","not",12,1924,69
NA,NA,98,"female","other","not",12,1929,NA
NA,6,0,"male","other","not",12,1971,72
NA,5,5,"male","white","not",11,1959,65
6000,5,6,"female","white","not",16,1942,66
NA,5,10,"male","white","not",11,1958,70
NA,5,1,"female","white","not",12,1916,61
0,5,0,"female","white","not",10,1922,60
NA,5,10,"male","white","not",12,1971,70
NA,6,1,"female","white","not",11,1969,73
NA,5,6,"female","white","not",12,1916,66
NA,4,9,"female","white","hisp",12,1954,57
25000,5,7,"male","white","not",11,1927,67
12000,6,1,"male","white","not",12,1961,73
0,5,5,"female","white","not",18,1964,65
NA,5,2,"female","white","not",12,1945,62
12000,6,4,"male","white","not",12,1933,76
30000,5,10,"male","white","not",14,1914,70
0,5,4,"female","white","not",12,1960,64
4000,5,3,"female","other","not",15,1968,63
NA,5,7,"female","other","not",11,1972,67
26000,5,3,"female","other","not",13,1953,63
NA,5,9,"female","white","not",9,1937,69
NA,5,7,"female","white","not",9,1967,67
NA,5,6,"female","other","not",12,1960,66
NA,5,1,"female","other","not",12,1965,61
23000,5,10,"male","other","not",12,1955,70
21000,5,11,"male","white","not",12,1957,71
25000,5,5,"female","white","not",12,1928,65
18000,5,10,"male","white","not",16,1915,70
4000,5,3,"female","white","not",13,1946,63
23900,5,4,"female","white","not",12,1968,64
NA,5,8,"male","white","not",12,1922,68
35000,5,4,"female","white","not",18,1950,64
26000,5,7,"male","white","not",14,1960,67
25000,5,6,"male","white","not",16,1954,66
23500,5,8,"female","white","not",13,1963,68
12000,5,5,"female","white","not",12,1968,65
15000,5,7,"female","white","not",12,1970,67
NA,5,1,"female","white","not",8,1923,61
3000,6,1,"male","white","not",17,1967,73
NA,5,3,"female","white","not",12,1922,63
NA,5,6,"female","white","not",12,1953,66
6000,5,4,"female","white","not",12,1923,64
14000,5,11,"male","white","not",12,1921,71
15000,5,3,"female","white","not",16,1959,63
175000,5,11,"male","white","not",16,1942,71
0,5,3,"female","white","not",12,1939,63
NA,5,4,"female","white","not",16,1920,64
1000,6,1,"male","white","not",18,1965,73
10000,5,5,"female","white","not",14,1927,65
45000,5,6,"male","white","not",13,1908,66
15000,5,6,"female","white","not",12,1909,66
NA,5,0,"female","white","not",15,1911,60
NA,5,8,"female","white","not",18,1938,68
20000,4,11,"female","white","not",13,1949,59
NA,5,10,"male","white","not",12,1948,70
NA,5,2,"female","white","not",15,NA,62
35000,5,10,"male","white","not",16,1960,70
40000,6,0,"male","white","not",16,1962,72
35000,5,4,"female","white","not",12,1918,64
NA,6,0,"male","white","not",12,1957,72
50000,5,6,"female","white","not",16,1936,66
1e+05,5,10,"male","white","not",18,1933,70
NA,5,3,"female","white","not",12,1960,63
35000,5,9,"male","white","not",13,1962,69
0,5,6,"female","white","not",12,1939,66
24000,5,8,"female","white","not",12,1955,68
0,5,4,"female","white","not",12,1960,64
NA,5,7,"female","white","not",14,1955,67
NA,5,0,"female","white","not",16,1918,60
0,5,3,"female","white","not",12,1930,63
35000,6,2,"male","white","not",17,1947,74
NA,5,1,"female","white","not",18,1923,61
38000,6,1,"male","white","not",16,1916,73
NA,5,10,"male","white","not",13,1961,70
NA,6,1,"male","white","not",13,1944,73
NA,5,2,"female","white","not",12,1971,62
NA,5,0,"female","white","not",8,1914,60
30000,5,7,"male","white","not",12,1938,67
5000,5,4,"female","white","hisp",12,1951,64
148000,5,7,"male","white","not",18,1952,67
30000,5,10,"male","white","not",12,1958,70
6500,5,4,"female","white","not",15,1959,64
3000,5,2,"female","white","not",16,1953,62
NA,6,0,"male","white","not",15,1915,72
0,5,6,"female","white","not",8,1937,66
23000,5,9,"male","white","not",18,1921,69
NA,5,4,"female","white","not",16,1934,64
NA,5,3,"female","white","not",14,1911,63
NA,6,10,"male","white","not",18,1925,82
NA,5,3,"female","white","not",16,1954,63
40000,5,8,"male","white","not",17,1949,68
30000,6,0,"male","white","not",14,1951,72
0,5,3,"female","white","not",14,1961,63
14000,5,3,"female","white","not",12,1953,63
15000,5,9,"female","white","not",12,1956,69
26000,5,4,"female","white","not",18,1954,64
8000,5,11,"female","white","not",12,1965,71
24000,5,4,"female","other","not",16,1963,64
0,6,0,"male","white","not",8,1970,72
0,5,2,"female","white","not",12,1965,62
0,5,6,"female","white","not",10,1952,66
NA,6,0,"male","white","not",12,1950,72
5124,5,6,"male","white","not",8,1923,66
10000,5,1,"female","white","not",15,1965,61
NA,5,4,"female","white","not",7,1952,64
NA,5,2,"female","other","not",13,1970,62
0,5,9,"female","white","not",13,1971,69
12000,5,8,"female","white","not",16,1958,68
NA,5,6,"female","white","not",12,1967,66
0,5,6,"female","white","not",12,1967,66
NA,5,10,"male","white","not",16,1952,70
50000,5,8,"male","white","not",17,1956,68
NA,5,11,"male","white","not",16,1949,71
23000,5,4,"female","white","not",13,1964,64
0,5,1,"female","white","not",16,1950,61
NA,5,8,"female","white","not",12,1921,68
NA,5,3,"female","white","not",9,1921,63
NA,5,5,"female","white","not",12,NA,65
NA,5,4,"female","white","not",12,1972,64
NA,5,5,"female","white","not",12,1952,65
NA,5,4,"female","white","not",14,1971,64
40000,5,6,"male","other","not",14,1956,66
6000,5,2,"female","other","not",13,1964,62
